nombre	nombreComisario	correoElectronico	nombreInspector	numeroInspeccionPolicia	correoInspector	direccionInspeccionPolicia	nombrePersonero	telefonoContactoPersoneria	correoPersonero	direccionPersoneria
El Carmen	Hector Mauricio Díaz Villamizar	comisariadefamilia@elcarmen-nortedesantander.gov.co	Carlos Escorcia Picón		comisariadefamilia@elcarmen-nortedesantander.gov.co	Parque Principal "Rafael Uribe Uribe"	Delia Judit Torres Durán		personeria@elcarmen-nortedesantander.gov.co	Parque Principal "Rafael Uribe Uribe"
Tibù	MARIO BURGOS	comisariadefamilia@alcaldiadetibu.gov.co	DIDIER AVELLANEDA		inspecciondepolicia@alcaldiadetibu.gov.co	CRA. 3 N° 4.48 BARRIO MIRAFLORES	GERSON RINCON		Personeria@tibu-nortedesantander.gov.co	TIBÚ NORTE DE SANTANDER - BARRIO BARCO CALLE 13 - CASA MARIA AXILIADORA
Durania	JORGE RAUL GELVEZ REYES	comisaria@durania-nortedesantander.gov.co	STEWARD FABIAN SANABRIA HIGUERA		inspeccionpolicia@durania-nortedesantander.gov.co	AV 2 # 8-57 CENTRO	JUAN GABRIEL PEÑARANDA ARCHILA		personeria@durania-nortedesantander.gov.co	AV 2 # 8-57 CENTRO
La Esperanza	jhosmario alcina cañizares	comisaria@laesperanza-nortedesantander.gov.co	angie mariana sanchez		inspeccion@laesperanza-nortedesantander.gov.co	Palacio Municipal Calle 3 No. 2A – 24 B. El Centro	julian rubio zapata		personeria@laesperanza-nortedesantander.gov.co	parque principal la esperanza
Hacarì	Angie Tatiana Salazar Carrascal	comisariadefamilia@hacari-nortedesantander.gov.co	Iris Patricia Lindarte Rondón		inspecciondepolicia@hacari-nortedesantander.gov.co	Alcaldía Municipal de Hacari	Javier Ascanio		personeria@hacari-nortedesantander.gov.co	KDK: Cra 5 3-15 Centro Multifuncional
Teorama	Leila Estefany Torrado Sánchez	comisariadefamilia@teorama-nortedesantander.gov.co	Cenaida Rodriguez		secmujeryequidad@teorama-nortedesantander.gov.co	Cra. 5 No. 3-51 B. Centro Teorama	Celso Gustavo Rincon Muriel		personeria@teorama-nortedesantander.gov.co	Alcaldia de Teorama
LA PLAYA	JAIR ALEJO VERGEL	comisariadefamiia@laplayadebelen-nortedesantander.gov.co	YENNY XIOMARA AMAYA CLARO		inspecciondepolicia@laplayadebelen-nortedesantander.gov.co	calle #4 1-13 alcaldia Municipal	YAMID ALEXANDER VELASQUEZ PACHECO		personerialaplaya@laplayadebelen-nortedesantander.gov.co	calle #4 1-13 alcaldia Municipal
San Calixto	Yamile Cárdenas Carrascal	comisariadefamilia@sancalixto-nortedesantander.gov.co	Maryith Marquez Ivañez		inspecciondepolicia@sancalixto-nortedesantander.gov.co	Alcaldía Municipal De San Calixto	Jean Carlos Ortega Carrascal		personeria@sancalixto-nortedesantander.gov.co	Palacio  Municipal De San Calixto
ARBOLEDAS	PEDRO JAVIER VILLAMIZAR GARCIA	comisaria@arboledas-nortedesantader.gov.co	LEINNY MARELIS RODRIGUEZ JAIMES		inpeccionpolicia@arboledas-nortedesantander.gov.co	carrera 6 No 2-25 sector hospital	LUIS DAVID BLANCO GRIMALDO		personero@personeria-arboledas.gov.co	CALLE 3 CON CARRERA 7 SECTOR EL PAILON
VILLA DEL ROSARIO	NIDIS MARIA NAVARRO HERNANDEZ	comisariadefamilia@villarosario.gov.co	JAIME CASTRO MARTINEZ		inspecciondepolicia@villarosario.gov.co	CARRERA 6 ENTRE CALLES 6 Y 7 BARRIO CENTRO VILLA DEL ROSARIO	OSCAR CABRALES		personeria@villarosario.gov.co	CARRERA 6 ENTRE CALLES 6 Y 7 BARRIO CENTRO VILLA DEL ROSARIO
puerto santander	cesar augusto jaimes	comisariadefamilia@puertosantader-nortedesantander.gov.co	javier orlando pedraza		inspecciondepolicia@puertosantander-nortedesantander.gov.co	alcaldia de puerto santander	lisseth yurany bayona		personeria@puertosantader-nortedesantander.gov.co	alcaldia de puerto santander
SALAZAR	LIZETH RUBIO CAMILO	comisaria@salazardelaspalmas-nortedesantander.gov.co	LUIS ALEJANDRO LAGUADO		inspeccion@salazardelaspalmas-nortedesantander.gov.co	Cra. 5, Salazar de las Palmas, Norte de Santander. Palacio Municipal	JESUS CENEN MARTINEZ		personeria@salazardelaspalmas-nortedesantander.gov.co	Calle 2 Carrera 6 Esquina, Salazar de las Palmas, Norte de Santander
San Cayetano	HENDER ELISEO MORA	comisariadefamilia@sancayetano-nortedesantander.gov.co	SARA ISABEL RAMIREZ.		inspeccionpolicia@sancayetano-nortedesantander.gov.co	CENTRO ADMINISTRATIVO DE LA ALCALDIA MUNICIPAL	ARMANDO VILLAMIZAR MOGROVEJO		personeria@sancayetano-nortedesantander.gov.co	Carrera  3ra con calle 4ta PERSONERIA
